"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
49,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,70,0.8,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,50,0.1,"No"
14,1,0,3,8,21,0.185,0.224,0.242,0.466,1,31,74,45,-1.8,"No"
9,3,3,4,25,49,0.275,0.314,0.346,0.66,1,110,136,125,0.5,"No"
9,2,4,3,23,37,0.317,0.355,0.398,0.753,2,81,134,109,2.2,"No"
12,0,0,0,6,14,0.281,0.311,0.317,0.627,1,23,79,61,0,"No"
26,0,0,0,1,16,0.087,0.125,0.087,0.212,0,13,13,13,1.5,"No"
27,0,0,0,3,17,0.033,0.147,0.067,0.214,0,20,18,20,-0.2,"No"
22,0,0,0,4,25,0.083,0.154,0.083,0.237,0,27,25,27,4.2,"No"
22,0,0,0,1,36,0.048,0.063,0.065,0.128,0,33,32,33,9.2,"12"
26,0,0,0,6,35,0.119,0.2,0.153,0.353,0,34,32,34,3.9,"No"
36,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,12,1,12,2.2,"81"
25,0,0,0,6,29,0.143,0.232,0.184,0.416,0,32,31,32,2.8,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,32,0,32,5.7,"77"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,32,0,32,2.3,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,5,0.2,"No"
28,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,10,0.4,"No"
